stock_key,company_name,sector,industry,exchange,market_cap_group,listing_date,is_vn30
HVX,CTCP Xi măng Vicem Hải Vân,Materials,Cement,HOSE,Penny,2010-01-01,0
ICG,CTCP Xây dựng và Đầu tư Việt Nam,Real Estate,Real Estate,HNX,Penny,2009-01-01,0
ICT,CTCP Viễn thông - Tin học Bưu điện,Technology,IT Services,HOSE,Penny,2020-01-01,0
IDC,Tổng CTCP IDICO,Real Estate,Industrial Parks,HNX,Midcap,2017-11-24,0
IDI,CTCP Đầu tư và Phát triển Đa quốc gia I.D.I,Consumer Staples,Seafood,HOSE,Midcap,2011-01-01,0
IDJ,CTCP Đầu tư IDJ Việt Nam,Financials,Investment,HNX,Penny,2010-01-01,0
IDV,CTCP Phát triển Hạ tầng Vĩnh Phúc,Real Estate,Industrial Parks,HNX,Penny,2010-01-01,0
IJC,CTCP Phát triển Hạ tầng Kỹ thuật,Real Estate,Real Estate,HOSE,Midcap,2010-01-01,0
ILB,CTCP Tân Cảng - Long Bình,Industrials,Logistics,HOSE,Penny,2019-01-01,0
IMP,CTCP Dược phẩm Imexpharm,Health Care,Pharmaceuticals,HOSE,Midcap,2006-01-01,0
INC,CTCP Tư vấn Thiết kế Dầu khí,Industrials,Energy Services,HNX,Penny,2006-01-01,0
INN,CTCP Bao bì và In Nông nghiệp,Materials,Packaging,HNX,Penny,2011-01-01,0
IPA,CTCP Tập đoàn Đầu tư I.P.A,Financials,Investment,HNX,Midcap,2021-01-01,0
ITC,CTCP Đầu tư và Kinh doanh Nhà,Real Estate,Real Estate,HOSE,Penny,2010-01-01,0
ITD,CTCP Công nghệ Tiên Phong,Technology,IT Services,HOSE,Penny,2007-01-01,0
ITQ,CTCP Tập đoàn Thiên Quang,Materials,Steel,HNX,Penny,2010-01-01,0
IVS,CTCP Chứng khoán Guotai Junan (Việt Nam),Financials,Securities,HNX,Penny,2011-01-01,0
JVC,CTCP Thiết bị Y tế Việt Nhật,Health Care,Medical Equipment,HOSE,Penny,2011-01-01,0
KBC,Tổng CTCP Phát triển Đô thị Kinh Bắc,Real Estate,Industrial Parks,HOSE,Midcap,2007-12-18,0
KDC,CTCP Tập đoàn KIDO,Consumer Staples,Food Products,HOSE,Midcap,2005-01-01,0
KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,Real Estate,Real Estate,HOSE,Midcap,2010-02-01,0
KDM,CTCP Tập đoàn GDC,Industrials,Construction,HNX,Penny,2016-01-01,0
KHG,CTCP Tập đoàn Khải Hoàn Land,Real Estate,Real Estate Services,HOSE,Midcap,2021-01-01,0
KHP,CTCP Điện lực Khánh Hòa,Utilities,Electric Utilities,HOSE,Penny,2006-01-01,0
KHS,CTCP Kiên Hùng,Consumer Staples,Seafood,HNX,Penny,2017-01-01,0
KKC,CTCP Kim khí Tập đoàn Việt Nam,Materials,Steel,HNX,Penny,2007-01-01,0
KLB,Ngân hàng TMCP Kiên Long,Financials,Banks,UPCOM,Midcap,2017-01-01,0
KMR,CTCP Mirae,Consumer Discretionary,Textiles,HOSE,Penny,2007-01-01,0
KMT,CTCP Kim khí Miền Trung,Materials,Steel,HNX,Penny,2010-01-01,0
KOS,CTCP KOSY,Real Estate,Real Estate,HOSE,Midcap,2017-01-01,0
KSB,CTCP Khoáng sản và Xây dựng Bình Dương,Materials,Building Materials,HOSE,Midcap,2010-01-01,0
KSD,CTCP Đầu tư DNA,Industrials,Electrical Equipment,HNX,Penny,2007-01-01,0
KSF,CTCP Tập đoàn Real Gate,Real Estate,Real Estate,HNX,Midcap,2021-01-01,0
KST,CTCP KST Group,Industrials,Electrical Equipment,HNX,Penny,2005-01-01,0
KTS,CTCP Đường Kon Tum,Consumer Staples,Food Products,HNX,Penny,2011-01-01,0
L10,CTCP Lắp máy 10,Industrials,Construction,HOSE,Penny,2010-01-01,0
L14,CTCP LICOGI 14,Real Estate,Real Estate,HNX,Penny,2011-01-01,0
L18,CTCP Đầu tư và Xây dựng số 18,Industrials,Construction,HNX,Penny,2008-01-01,0
L40,CTCP Đầu tư và Xây dựng 40,Industrials,Construction,HNX,Penny,2009-01-01,0
LAF,CTCP Chế biến Hàng xuất khẩu Long An,Consumer Staples,Food Products,HOSE,Penny,2000-01-01,0
LAS,CTCP Supe Phốt phát và Hóa chất Lâm Thao,Materials,Fertilizers,HNX,Midcap,2012-01-01,0
LBE,CTCP Sách và Thiết bị Trường học Long An,Consumer Discretionary,Publishing,HNX,Penny,2007-01-01,0
LBM,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng,Materials,Building Materials,HOSE,Penny,2007-01-01,0
LCG,CTCP LIZEN,Industrials,Construction,HOSE,Midcap,2008-01-01,0
LDG,CTCP Đầu tư LDG,Real Estate,Real Estate,HOSE,Penny,2015-01-01,0
LDP,CTCP Dược Lâm Đồng,Health Care,Pharmaceuticals,HNX,Penny,2010-01-01,0
LGC,CTCP Đầu tư Cầu đường CII,Industrials,Infrastructure,HOSE,Midcap,2011-01-01,0
LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang,Real Estate,Real Estate,HOSE,Penny,2009-01-01,0
LHC,CTCP Thủy lợi Lâm Đồng,Industrials,Construction,HNX,Penny,2008-01-01,0
LHG,CTCP Long Hậu,Real Estate,Industrial Parks,HOSE,Midcap,2009-01-01,0
LIG,CTCP LICOGI 13,Industrials,Construction,HNX,Penny,2010-01-01,0
LIX,CTCP Bột giặt Lix,Consumer Staples,Household Products,HOSE,Midcap,2009-01-01,0
LM8,CTCP Lilama 18,Industrials,Construction,HOSE,Penny,2010-01-01,0
LPB,Ngân hàng TMCP Lộc Phát Việt Nam,Financials,Banks,HOSE,Bluechip,2017-10-05,0
LSS,CTCP Mía đường Lam Sơn,Consumer Staples,Food Products,HOSE,Penny,2008-01-01,0
MAC,CTCP Cung ứng và Dịch vụ Kỹ thuật Hàng hải,Industrials,Logistics,HNX,Penny,2005-01-01,0
MAS,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng,Industrials,Logistics,HNX,Penny,2006-01-01,0
MBB,Ngân hàng TMCP Quân đội,Financials,Banks,HOSE,Bluechip,2011-11-01,1
MBG,CTCP Tập đoàn MBG,Industrials,Multi-sector,HNX,Penny,2015-01-01,0
MBS,CTCP Chứng khoán MB,Financials,Securities,HNX,Midcap,2016-03-28,0
MCC,CTCP Gạch ngói Cao cấp,Materials,Building Materials,HNX,Penny,2008-01-01,0
MCF,CTCP Xây lắp Cơ khí và Lương thực Thực phẩm,Industrials,Machinery,HNX,Penny,2010-01-01,0
MCH,CTCP Hàng tiêu dùng Masan,Consumer Staples,Food & Beverage,UPCOM,Bluechip,2017-01-01,0
MCM,CTCP Giống bò sữa Mộc Châu,Consumer Staples,Food Products,HOSE,Midcap,2020-01-01,0
MCO,CTCP Đầu tư và Xây dựng Công trình 1,Industrials,Construction,HNX,Penny,2005-01-01,0
MCP,CTCP Bản đồ và Tranh ảnh Giáo dục,Consumer Discretionary,Publishing,HOSE,Penny,2006-01-01,0
MDC,CTCP Than Mông Dương - TKV,Energy,Coal,HNX,Penny,2006-01-01,0
MDG,CTCP Miền Đông,Industrials,Construction,HOSE,Penny,2010-01-01,0
MED,CTCP Dược Trung ương MEDIPLANTEX,Health Care,Pharmaceuticals,UPCOM,Penny,2017-01-01,0
MEL,CTCP Thép Mê Lin,Materials,Steel,HNX,Penny,2016-01-01,0
MHC,CTCP MHC,Industrials,Logistics,HOSE,Penny,2005-01-01,0
MIC,CTCP Kỹ nghệ Khoáng sản Quảng Nam,Materials,Mining,HOSE,Penny,2006-01-01,0
MIG,Tổng CTCP Bảo hiểm Quân đội,Financials,Insurance,HOSE,Midcap,2017-01-01,0
MKV,CTCP Hóa dược Việt Nam,Health Care,Pharmaceuticals,HNX,Penny,2008-01-01,0
MSB,Ngân hàng TMCP Hàng Hải Việt Nam,Financials,Banks,HOSE,Bluechip,2020-12-23,0
MSH,CTCP May Sông Hồng,Consumer Discretionary,Textiles,HOSE,Midcap,2018-01-01,0
MSN,Tập đoàn Masan,Consumer Staples,Food & Beverage,HOSE,Bluechip,2009-11-05,1
MST,CTCP Đầu tư MST,Industrials,Construction,HNX,Penny,2016-01-01,0
MWG,CTCP Đầu tư Thế giới Di động,Consumer Discretionary,Retailing,HOSE,Bluechip,2014-07-14,1
NAB,Ngân hàng TMCP Nam Á,Financials,Banks,HOSE,Midcap,2024-03-01,0
NAF,CTCP Nafoods Group,Consumer Staples,Food Products,HOSE,Penny,2015-01-01,0
NAG,CTCP Tập đoàn Nagakawa,Consumer Discretionary,Household Goods,HNX,Penny,2009-01-01,0
NAP,CTCP Cảng Nghệ Tĩnh,Industrials,Logistics,HNX,Penny,2015-01-01,0
NAV,CTCP Nam Việt,Materials,Building Materials,HOSE,Penny,2006-01-01,0
NBB,CTCP Đầu tư Năm Bảy Bảy,Real Estate,Real Estate,HOSE,Midcap,2009-01-01,0
NBC,CTCP Than Núi Béo - TKV,Energy,Coal,HNX,Penny,2006-01-01,0
NBP,CTCP Nhiệt điện Ninh Bình,Utilities,Electric Utilities,HNX,Penny,2008-01-01,0
NBW,CTCP Cấp nước Nhà Bè,Utilities,Water Utilities,UPCOM,Penny,2010-01-01,0
NCT,CTCP Dịch vụ Hàng hóa Nội Bài,Industrials,Logistics,HOSE,Midcap,2015-01-01,0
NDN,CTCP Đầu tư Phát triển Nhà Đà Nẵng,Real Estate,Real Estate,HNX,Penny,2011-01-01,0
NDX,CTCP Xây lắp Phát triển Nhà Đà Nẵng,Real Estate,Real Estate,HNX,Penny,2010-01-01,0
NET,CTCP Bột giặt NET,Consumer Staples,Household Products,HNX,Midcap,2010-01-01,0
NFC,CTCP Ninh Bình Phosphate,Materials,Fertilizers,HNX,Penny,2010-01-01,0
NHA,CTCP Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Real Estate,Real Estate,HOSE,Penny,2010-01-01,0
NHC,CTCP Gạch ngói Nhị Hiệp,Materials,Building Materials,HNX,Penny,2010-01-01,0
NHH,CTCP Nhựa Hà Nội,Materials,Plastics,HOSE,Penny,2019-01-01,0
NHT,CTCP Sản xuất Kinh doanh Nhựa Hà Tĩnh,Materials,Plastics,HNX,Penny,2010-01-01,0
NKG,CTCP Thép Nam Kim,Materials,Steel,HOSE,Midcap,2011-01-14,0
NLG,CTCP Đầu tư Nam Long,Real Estate,Real Estate,HOSE,Midcap,2013-04-08,0
NNC,CTCP Đá Núi Nhỏ,Materials,Building Materials,HOSE,Penny,2010-01-01,0
NO1,CTCP Tập đoàn 911,Industrials,Machinery,HOSE,Penny,2022-01-01,0
NRC,CTCP Tập đoàn Danh Khôi,Real Estate,Real Estate Services,HNX,Penny,2017-01-01,0
NSC,CTCP Tập đoàn Giống cây trồng Việt Nam,Consumer Staples,Agriculture,HOSE,Midcap,2006-01-01,0
NSH,CTCP Nhôm Sông Hồng,Materials,Steel,HNX,Penny,2010-01-01,0
NST,CTCP Ngân Sơn,Consumer Staples,Tobacco,HNX,Penny,2006-01-01,0
NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2,Utilities,Electric Utilities,HOSE,Midcap,2015-06-12,0
NTC,CTCP Khu Công nghiệp Nam Tân Uyên,Real Estate,Industrial Parks,UPCOM,Midcap,2016-01-01,0
NTH,CTCP Thủy điện Nước Trong,Utilities,Electric Utilities,HNX,Penny,2010-01-01,0
NTL,CTCP Phát triển Đô thị Từ Liêm,Real Estate,Real Estate,HOSE,Midcap,2007-01-01,0
NTP,CTCP Nhựa Thiếu niên Tiền Phong,Materials,Plastics,HNX,Midcap,2006-01-01,0
NVB,Ngân hàng TMCP Quốc Dân,Financials,Banks,HNX,Midcap,2010-09-01,0
NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va,Real Estate,Real Estate,HOSE,Bluechip,2016-12-28,0
NVT,CTCP Bất động sản Du lịch Ninh Vân Bay,Consumer Discretionary,Travel & Leisure,HOSE,Penny,2010-01-01,0
OCB,Ngân hàng TMCP Phương Đông,Financials,Banks,HOSE,Bluechip,2021-01-28,0
OCH,CTCP Khách sạn và Dịch vụ Đại Dương,Consumer Discretionary,Hotels,HNX,Penny,2010-01-01,0
OGC,CTCP Tập đoàn Đại Dương,Financials,Investment,HOSE,Penny,2010-01-01,0
ONE,CTCP Truyền thông số 1,Technology,IT Services,HNX,Penny,2008-01-01,0
OPC,CTCP Dược phẩm OPC,Health Care,Pharmaceuticals,HOSE,Midcap,2008-01-01,0
ORS,CTCP Chứng khoán Tiên Phong,Financials,Securities,HOSE,Midcap,2019-01-01,0
PAC,CTCP Pin Ắc quy Miền Nam,Industrials,Electrical Equipment,HOSE,Midcap,2006-01-01,0
PAN,CTCP Tập đoàn PAN,Consumer Staples,Agriculture,HOSE,Midcap,2006-11-01,0
PBP,CTCP Bao bì Dầu khí Việt Nam,Materials,Packaging,HNX,Penny,2011-01-01,0
PC1,CTCP Tập đoàn PC1,Industrials,Construction,HOSE,Midcap,2016-11-16,0
PCE,CTCP Phân bón và Hóa chất Dầu khí Miền Trung,Materials,Fertilizers,HNX,Penny,2011-01-01,0
PCH,CTCP Nhựa Picomat,Materials,Plastics,HNX,Penny,2022-01-01,0
PCT,CTCP Dịch vụ Vận tải Dầu khí Cửu Long,Industrials,Logistics,HNX,Penny,2011-01-01,0
PDB,CTCP Phục Hưng Holdings,Industrials,Construction,HNX,Penny,2009-01-01,0
PDN,CTCP Cảng Đồng Nai,Industrials,Logistics,HOSE,Midcap,2011-01-01,0
PDR,CTCP Phát triển Bất động sản Phát Đạt,Real Estate,Real Estate,HOSE,Bluechip,2010-07-30,0
PDV,CTCP Vận tải Dầu khí Việt Nam,Industrials,Logistics,UPCOM,Penny,2011-01-01,0
PEN,CTCP Xây lắp Điện Ninh Thuận,Industrials,Construction,HNX,Penny,2010-01-01,0
PET,Tổng CTCP Dịch vụ Tổng hợp Dầu khí,Consumer Discretionary,Retail,HOSE,Midcap,2007-09-12,0
PGC,CTCP Gas Petrolimex,Utilities,Gas Utilities,HOSE,Midcap,2006-01-01,0
PGD,CTCP Phân phối Khí thấp áp Dầu khí Việt Nam,Utilities,Gas Utilities,HOSE,Midcap,2009-01-01,0
PGI,Tổng CTCP Bảo hiểm Petrolimex,Financials,Insurance,HOSE,Midcap,2009-01-01,0
PGN,CTCP Phụ gia Nhựa,Materials,Chemicals,HNX,Penny,2021-01-01,0
PGS,CTCP Kinh doanh Khí Miền Nam,Utilities,Gas Utilities,HNX,Midcap,2007-01-01,0
PGT,CTCP PGT Holdings,Financials,Investment,HNX,Penny,2009-01-01,0
PGV,Tổng CTCP Phát điện 3,Utilities,Electric Utilities,HOSE,Bluechip,2018-01-01,0
PHC,CTCP Phục Hưng Holdings,Industrials,Construction,HOSE,Penny,2009-01-01,0
PHN,CTCP Pin Hà Nội,Industrials,Electrical Equipment,HNX,Penny,2019-01-01,0
PHR,CTCP Cao su Phước Hòa,Materials,Rubber,HOSE,Midcap,2009-01-01,0
PIA,CTCP Tin học Viễn thông Petrolimex,Technology,IT Services,UPCOM,Penny,2014-01-01,0
PIC,CTCP Đầu tư Điện Tây Nguyên,Utilities,Electric Utilities,HNX,Penny,2011-01-01,0
PIT,CTCP Xuất nhập khẩu Petrolimex,Consumer Staples,Agriculture,HOSE,Penny,2007-01-01,0
PJC,CTCP Thương mại Xe tải Dầu khí,Industrials,Logistics,HNX,Penny,2008-01-01,0
PJT,CTCP Vận tải Xăng dầu Đường thủy Petrolimex,Industrials,Logistics,HOSE,Penny,2007-01-01,0
PLC,CTCP Hóa dầu Petrolimex,Materials,Chemicals,HNX,Midcap,2006-01-01,0
PLP,CTCP Công nghệ Nhựa Pha Lê,Materials,Plastics,HOSE,Penny,2017-01-01,0
PLX,Tập đoàn Xăng dầu Việt Nam,Energy,Oil & Gas,HOSE,Bluechip,2017-04-21,1
PMB,CTCP Phân bón và Hóa chất Dầu khí Miền Bắc,Materials,Fertilizers,HNX,Penny,2015-01-01,0
PMC,CTCP Dược phẩm Dược liệu Pharmedic,Health Care,Pharmaceuticals,HNX,Penny,2009-01-01,0
PMG,CTCP Đầu tư và Sản xuất Petro Miền Trung,Utilities,Gas Utilities,HOSE,Penny,2018-01-01,0
PMP,CTCP Bao bì Đạm Phú Mỹ,Materials,Packaging,HNX,Penny,2015-01-01,0
PMS,CTCP Cơ khí Xăng dầu,Industrials,Machinery,HNX,Penny,2007-01-01,0
PNC,CTCP Văn hóa Phương Nam,Consumer Discretionary,Retail,HOSE,Penny,2005-01-01,0
PNJ,CTCP Vàng bạc Đá quý Phú Nhuận,Consumer Discretionary,Retail,HOSE,Bluechip,2009-03-23,0
POT,CTCP Thiết bị Bưu điện,Industrials,Electrical Equipment,HNX,Penny,2005-01-01,0
POW,Tổng CTCP Điện lực Dầu khí Việt Nam,Utilities,Electric Utilities,HOSE,Bluechip,2018-03-06,1
PPC,CTCP Nhiệt điện Phả Lại,Utilities,Electric Utilities,HOSE,Midcap,2007-01-26,0
PPE,CTCP Tư vấn Đầu tư Tài chính Dầu khí Việt Nam,Financials,Financial Services,HNX,Penny,2010-01-01,0
PPP,CTCP Dược phẩm Phong Phú,Health Care,Pharmaceuticals,HNX,Penny,2015-01-01,0
PPS,CTCP Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Utilities,Electric Utilities,HNX,Penny,2010-01-01,0
PPT,CTCP Bán lẻ Dầu khí Việt Nam,Consumer Discretionary,Retail,UPCOM,Penny,2020-01-01,0
PPY,CTCP Xăng dầu Dầu khí Phú Yên,Energy,Oil & Gas,HNX,Penny,2011-01-01,0
PRC,CTCP Logistics Portserco,Industrials,Logistics,HNX,Penny,2010-01-01,0
PRE,CTCP Tái Bảo hiểm PVI,Financials,Insurance,HNX,Penny,2011-01-01,0
PSC,CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn,Industrials,Logistics,HNX,Penny,2009-01-01,0
PSD,CTCP Dịch vụ Phân phối Tổng hợp Dầu khí,Consumer Discretionary,Retail,HNX,Penny,2013-01-01,0
PSE,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Materials,Fertilizers,HNX,Penny,2014-01-01,0
PSI,CTCP Chứng khoán Dầu khí,Financials,Securities,HNX,Penny,2010-01-01,0
PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Materials,Fertilizers,HNX,Penny,2015-01-01,0
PTB,CTCP Phú Tài,Industrials,Multi-sector,HOSE,Midcap,2011-01-01,0
PTC,CTCP Đầu tư và Xây dựng Bưu điện,Industrials,Construction,HOSE,Penny,2008-01-01,0
PTD,CTCP Thiết kế - Xây dựng - Thương mại Phúc Thịnh,Industrials,Construction,UPCOM,Penny,2011-01-01,0
PTI,Tổng CTCP Bảo hiểm Bưu điện,Financials,Insurance,HNX,Midcap,2011-01-01,0
PTL,CTCP Đầu tư hạ tầng và Đô thị Dầu khí PVC,Real Estate,Real Estate,HOSE,Penny,2010-01-01,0
PTS,CTCP Vận tải và Dịch vụ Petrolimex Thừa Thiên Huế,Industrials,Logistics,HNX,Penny,2008-01-01,0
PTX,CTCP Vận tải và Dịch vụ Petrolimex Nghệ An,Industrials,Logistics,UPCOM,Penny,2010-01-01,0
PV2,CTCP Đầu tư PV2,Financials,Investment,HNX,Penny,2010-01-01,0
PVB,CTCP Bọc ống Dầu khí Việt Nam,Energy,Energy Services,HNX,Penny,2012-01-01,0
PVC,Tổng CTCP Hóa chất và Dịch vụ Dầu khí,Energy,Energy Services,HNX,Penny,2007-01-01,0
PVD,Tổng CTCP Khoan và Dịch vụ Khoan Dầu khí,Energy,Oil & Gas,HOSE,Midcap,2006-12-05,0
PVG,CTCP Kinh doanh Khí miền Bắc,Utilities,Gas Utilities,HNX,Penny,2009-01-01,0
PVI,CTCP PVI,Financials,Insurance,HNX,Midcap,2007-01-01,0
PVP,CTCP Vận tải Dầu khí Thái Bình Dương,Industrials,Logistics,HOSE,Midcap,2023-01-01,0
PVS,Tổng CTCP Dịch vụ Kỹ thuật Dầu khí Việt Nam,Energy,Oil & Gas,HNX,Midcap,2007-09-20,0
PVT,Tổng CTCP Vận tải Dầu khí,Industrials,Logistics,HOSE,Midcap,2007-12-10,0
QCG,CTCP Quốc Cường Gia Lai,Real Estate,Real Estate,HOSE,Penny,2010-01-01,0
QHD,CTCP Que hàn Điện Việt Đức,Industrials,Machinery,HNX,Penny,2010-01-01,0
QNP,CTCP Cảng Quy Nhơn,Industrials,Logistics,HOSE,Midcap,2024-01-01,0
QST,CTCP Sách và Thiết bị Trường học Quảng Ninh,Consumer Discretionary,Publishing,HNX,Penny,2011-01-01,0
QTC,CTCP Công trình Giao thông Quảng Nam,Industrials,Construction,HNX,Penny,2011-01-01,0
RAL,CTCP Bóng đèn Phích nước Rạng Đông,Consumer Discretionary,Household Goods,HOSE,Midcap,2006-01-01,0
RCL,CTCP Địa ốc Chợ Lớn,Real Estate,Real Estate,HNX,Penny,2007-01-01,0
REE,CTCP Cơ Điện Lạnh,Industrials,Multi-sector,HOSE,Bluechip,2000-07-28,0
RYG,CTCP Rạng Đông Holding,Industrials,Multi-sector,HOSE,Penny,2002-01-01,0
S4A,CTCP Thủy điện Sê San 4A,Utilities,Electric Utilities,HOSE,Penny,2011-01-01,0
S55,CTCP Sông Đà 505,Industrials,Construction,HNX,Penny,2006-01-01,0
S99,CTCP SCI Holdings,Industrials,Construction,HNX,Penny,2006-01-01,0
SAB,Tổng CTCP Bia - Rượu - Nước giải khát Sài Gòn,Consumer Staples,Beverages,HOSE,Bluechip,2016-12-06,1
SAF,CTCP Lương thực Thực phẩm Safoco,Consumer Staples,Food Products,HNX,Penny,2006-01-01,0
SAM,CTCP Tập đoàn SAM Holdings,Industrials,Multi-sector,HOSE,Midcap,2000-01-01,0
SAV,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Consumer Discretionary,Home Furnishings,HOSE,Penny,2002-01-01,0
SBA,CTCP Sông Ba,Utilities,Electric Utilities,HOSE,Penny,2010-01-01,0
SBG,CTCP Tập đoàn Cơ khí Công nghệ cao Siba,Industrials,Machinery,HOSE,Penny,2023-01-01,0
SBT,CTCP Thành Thành Công - Biên Hòa,Consumer Staples,Food Products,HOSE,Midcap,2008-01-01,0
SBV,CTCP Siam Brothers Việt Nam,Consumer Discretionary,Textiles,HOSE,Penny,2017-01-01,0
SC5,CTCP Xây dựng Số 5,Industrials,Construction,HOSE,Penny,2003-01-01,0
SCG,CTCP Tập đoàn Xây dựng SCG,Industrials,Construction,UPCOM,Penny,2021-01-01,0
SCI,CTCP SCI,Industrials,Construction,HNX,Penny,2010-01-01,0
SCR,CTCP Địa ốc Sài Gòn Thương Tín,Real Estate,Real Estate,HOSE,Midcap,2010-01-01,0
SCS,CTCP Dịch vụ Hàng hóa Sài Gòn,Industrials,Logistics,HOSE,Midcap,2017-01-01,0
SD5,CTCP Sông Đà 5,Industrials,Construction,HNX,Penny,2006-01-01,0
SD9,CTCP Sông Đà 9,Industrials,Construction,HNX,Penny,2006-01-01,0
SDA,CTCP Simco Sông Đà,Industrials,Multi-sector,HNX,Penny,2006-01-01,0
SDC,CTCP Tư vấn Sông Đà,Industrials,Construction,HNX,Penny,2007-01-01,0
SDG,CTCP Sadico Cần Thơ,Materials,Packaging,HNX,Penny,2009-01-01,0
SDN,CTCP Sơn Đà Nẵng,Materials,Chemicals,HNX,Penny,2010-01-01,0
SDU,CTCP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,Real Estate,Real Estate,HNX,Penny,2009-01-01,0
SEB,CTCP Đầu tư và Phát triển Điện Miền Trung,Utilities,Electric Utilities,HNX,Penny,2010-01-01,0
SED,CTCP Đầu tư và Phát triển Giáo dục Phương Nam,Consumer Discretionary,Education,HNX,Penny,2008-01-01,0
SFC,CTCP Nhiên liệu Sài Gòn,Energy,Oil & Gas,HOSE,Penny,2002-01-01,0
SFG,CTCP Phân bón Miền Nam,Materials,Fertilizers,HOSE,Penny,2015-01-01,0
SFI,CTCP Đại lý Vận tải SAFI,Industrials,Logistics,HOSE,Penny,2006-01-01,0
SFN,CTCP Dệt lưới Sài Gòn,Consumer Discretionary,Textiles,HNX,Penny,2008-01-01,0
SGC,CTCP Xuất nhập khẩu Sa Giang,Consumer Staples,Food Products,HNX,Penny,2006-01-01,0
SGD,CTCP Sách Giáo khoa tại TP. Hồ Chí Minh,Consumer Discretionary,Publishing,HNX,Penny,2008-01-01,0
SGH,CTCP Khách sạn Sài Gòn,Consumer Discretionary,Hotels,HOSE,Penny,2001-01-01,0
SGN,CTCP Phục vụ Mặt đất Sài Gòn,Industrials,Logistics,HOSE,Midcap,2018-01-01,0
SGR,CTCP Địa ốc Sài Gòn,Real Estate,Real Estate,HOSE,Penny,2017-01-01,0
SGT,CTCP Công nghệ Viễn thông Sài Gòn,Technology,IT Services,HOSE,Midcap,2008-01-01,0
SHA,CTCP Sơn Hà Sài Gòn,Consumer Discretionary,Household Goods,HOSE,Penny,2012-01-01,0
SHB,Ngân hàng TMCP Sài Gòn - Hà Nội,Financials,Banks,HOSE,Bluechip,2009-09-04,1
SHE,CTCP Phát triển Năng lượng Sơn Hà,Utilities,Renewable Energy,HNX,Penny,2017-01-01,0
SHI,CTCP Quốc tế Sơn Hà,Consumer Discretionary,Household Goods,HOSE,Midcap,2009-01-01,0
SHN,CTCP Đầu tư Tổng hợp Hà Nội,Financials,Investment,HNX,Penny,2009-01-01,0
SHP,CTCP Thủy điện Miền Nam,Utilities,Electric Utilities,HOSE,Penny,2014-01-01,0
SHS,CTCP Chứng khoán Sài Gòn - Hà Nội,Financials,Securities,HNX,Midcap,2009-06-25,0
SIP,CTCP Đầu tư Sài Gòn VRG,Real Estate,Industrial Parks,HOSE,Midcap,2019-01-01,0
SJ1,CTCP Thủy sản Số 1,Consumer Staples,Seafood,HNX,Penny,2011-01-01,0
SJD,CTCP Thủy điện Cần Đơn,Utilities,Electric Utilities,HOSE,Penny,2004-01-01,0
SJE,CTCP Sông Đà 11,Industrials,Construction,HNX,Penny,2006-01-01,0
SJS,CTCP Đầu tư Phát triển Đô thị và Khu Công nghiệp Sông Đà,Real Estate,Real Estate,HOSE,Midcap,2006-01-01,0
SKG,CTCP Tàu cao tốc Superdong - Kiên Giang,Consumer Discretionary,Travel & Leisure,HOSE,Penny,2014-01-01,0
SLS,CTCP Mía đường Sơn La,Consumer Staples,Food Products,HNX,Midcap,2012-01-01,0
SMA,CTCP Thiết bị Phụ tùng Sài Gòn,Industrials,Machinery,HOSE,Penny,2010-01-01,0
SMB,CTCP Bia Sài Gòn - Miền Trung,Consumer Staples,Beverages,HOSE,Midcap,2018-01-01,0
SMC,CTCP Đầu tư Thương mại SMC,Materials,Steel,HOSE,Penny,2006-01-01,0
SMN,CTCP Sách và Thiết bị Giáo dục Miền Nam,Consumer Discretionary,Publishing,HNX,Penny,2008-01-01,0
SMT,CTCP Vật tư Thiết bị Giao thông,Industrials,Machinery,HNX,Penny,2010-01-01,0
SPC,CTCP Bảo vệ Thực vật Sài Gòn,Materials,Agriculture Chemicals,HNX,Penny,2005-01-01,0
SPM,CTCP SPM,Health Care,Pharmaceuticals,HOSE,Penny,2010-01-01,0
SRA,CTCP Sara Việt Nam,Health Care,Medical Equipment,HNX,Penny,2008-01-01,0
SRC,CTCP Cao su Sao Vàng,Industrials,Tires,HOSE,Penny,2009-01-01,0
SRF,CTCP Searefico,Industrials,Construction,HOSE,Penny,2009-01-01,0
SSB,Ngân hàng TMCP Đông Nam Á,Financials,Banks,HOSE,Bluechip,2021-03-24,1
SSC,CTCP Giống cây trồng Miền Nam,Consumer Staples,Agriculture,HOSE,Penny,2005-01-01,0
SSI,CTCP Chứng khoán SSI,Financials,Securities,HOSE,Bluechip,2006-12-15,1
